0001;0001;15AT HAMABOSTBAT                                       ;15AT HAMABOSTBAT                                                                                                        ;004182;
0002;0002;3 EN CÍRCULO                                           ;3 3N CÍRCULO LOZOYUELA-NAVAS-SIETEGLESIAS                                                                               ;326565;
0003;0003;aG                                                     ;ABANT GORDEXOLA                                                                                                         ;5E005E;
0004;0004;CAT-HIG                                                ;ABIERTA Y TRANSPARENTE - HAUTAGAITZA IREKI ETA GARBIA                                                                   ;6900D2;
0005;0005;ABOTSANITZ                                             ;ABOTSANITZ                                                                                                              ;626231;
0006;5426;ABRERA EN COMÚ-E                                       ;ABRERA EN COMÚ-ENTESA                                                                                                   ;FFBE7D;
0007;0007;ACCIO                                                  ;ACCIÓ CIUTADANA                                                                                                         ;804000;
0008;0008;ACIRE                                                  ;ACCIÓ I RENOVACIÓ                                                                                                       ;B70000;
0009;0009;AGIN                                                   ;ACCIÓ MONTSEC D'ARES                                                                                                    ;008C00;
0010;4319;AMD-CP                                                 ;ACCIO MUNICIPAL DEMOCRATICA-CANDIDATURA DE PROGRÈS                                                                      ;FF0000;
0011;0011;AC.CE.DE                                               ;ACCIÓN CERDANÍ DEMOCRÁTICA                                                                                              ;DFDF00;
0012;0012;AC-ALG                                                 ;ACCIÓN CIUDADANA ALGECIRAS                                                                                              ;A25151;
0013;0013;A.D.C.G.                                               ;ACCION DEMOCRATICA DE CENTRO DE GALICIA                                                                                 ;2BFFFF;
0014;0014;AS                                                     ;ACCION SOCIAL                                                                                                           ;38A791;
0016;0016;ACCV                                                   ;ACCIÓN VOTANTE                                                                                                          ;D0B135;
0017;2115;AM - AM                                                ;ACCIÓ PER MONTBRIÓ - ACORD MUNICIPAL                                                                                    ;8B17FF;
0018;1551;ACERT-COMPROMÍS                                        ;ACERT-ESQUERRA REPUBLICANA DE TAVERNES BLANQUES:COMPROMÍS                                                               ;F5D300;
0019;2115;AD'E-AM                                                ;ACORD D'ESQUERRA-ACORD MUNICIPAL                                                                                        ;8B17FF;
0020;2115;AE - AM                                                ;Acord d'Esquerres - Acord Municipal                                                                                     ;8B17FF;
0021;2115;Acord ERC- AM                                          ;Acord Independentista per la Garriga - ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL                              ;8B17FF;
0022;2115;AMO - AM                                               ;ACORD MUNICIPAL D'ODÈN - ACORD MUNICIPAL                                                                                ;8B17FF;
0023;2115;AMM-AM                                                 ;ACORD MUNICIPAL PER MONT-RAS - ACORD MUNICIPAL                                                                          ;8B17FF;
0024;2115;ApG - AM                                               ;ACORD PER GODALL - ACORD MUNICIPAL                                                                                      ;8B17FF;
0025;5426;APR-E                                                  ;ACORD PER LA RIERA -ENTESA                                                                                              ;FFBE7D;
0026;5426;ACORD-E                                                ;ACORD PER LLAVANERES-ENTESA                                                                                             ;FFBE7D;
0027;5416;AM-IdSELVA                                             ;ACORD PER MAÇANET - INDEPENDENTS DE LA SELVA                                                                            ;ACDA0E;
0028;2115;APS - AM                                               ;Acord per Senan - Acord Municipal                                                                                       ;8B17FF;
0029;2115;AVV - AM                                               ;ACORD PER VILATORTA I VILALLEONS - ACORD MUNICIPAL                                                                      ;8B17FF;
0030;0030;ASña                                                   ;ACTIVA SANTOÑA                                                                                                          ;09DD78;
0031;0031;ACTIVEM                                                ;ACTIVEM L'ALBAGÉS                                                                                                       ;647B95;
0032;0032;ACTÜA TORRENT                                          ;ACTÚA TORRENT                                                                                                           ;C4C79E;
0033;0033;AxCastro                                               ;ACUERDO POR CASTRO                                                                                                      ;006BD7;
0034;0034;(A)                                                    ;ADELANTE                                                                                                                ;499494;
0035;0035;ADELANTE-BERIAIN-AURRERA                               ;ADELANTE BERIAIN-BERIAIN AURRERA                                                                                        ;8C008C;
